com.samsung.health.floors_climbed,6212007,5
start_time,custom,update_time,create_time,floor,time_offset,deviceuuid,pkg_name,end_time,datauuid
2022-04-06 19:25:15.000,,2022-04-06 19:25:21.827,2022-04-06 19:25:21.827,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-04-06 19:25:21.000,85e4230e-53c1-490b-bced-8de28077312d,
2022-04-11 06:48:33.000,,2022-04-11 06:50:07.583,2022-04-11 06:50:07.122,2.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-04-11 06:49:01.000,d0c2ab71-f88b-4985-91a6-08443136f507,
2022-04-15 17:47:44.000,,2022-04-15 17:48:13.784,2022-04-15 17:47:57.550,3.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-04-15 17:48:05.001,12f9f559-4b63-4d37-a965-afd2e654eb42,
2022-04-18 18:40:10.000,,2022-04-18 18:40:20.314,2022-04-18 18:40:20.314,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-04-18 18:40:17.000,dbc33e1c-5207-49d4-8745-c4fcaf550cc9,
2022-04-06 20:36:57.000,,2022-04-06 20:37:26.408,2022-04-06 20:37:26.408,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-04-06 20:37:05.000,c3a3d6cf-9d45-4358-bfdb-9f259f312bf9,
2022-04-20 17:56:19.001,,2022-04-20 17:56:32.900,2022-04-20 17:56:32.610,2.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-04-20 17:56:30.000,9de4607e-cccc-4e54-9df5-5c961b8b174f,
2022-04-12 12:25:54.001,,2022-04-12 12:28:19.370,2022-04-12 12:28:19.154,2.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-04-12 12:26:19.000,19aa1330-0afc-442f-a797-6244675063e7,
2022-04-23 18:23:07.000,,2022-04-23 18:36:24.995,2022-04-23 18:36:24.995,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-04-23 18:23:18.000,673d8a23-c150-47d4-ad0e-08d9525276fe,
2022-04-17 08:22:09.000,,2022-04-17 08:26:31.510,2022-04-17 08:26:31.295,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-04-17 08:22:16.999,3b6b200f-09ef-4b8f-a247-ee446f38ee96,
2022-04-24 17:12:19.000,,2022-04-24 17:15:10.824,2022-04-24 17:15:10.824,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-04-24 17:12:36.000,364ac494-ed8e-4d36-88b3-1e590668bcb7,
2022-04-19 15:57:43.001,,2022-04-19 15:58:44.395,2022-04-19 15:58:44.395,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-04-19 15:57:51.001,2bb07ebe-ae6b-4ffa-a040-dcbe3ebbed75,
2022-04-27 22:17:14.999,,2022-04-27 22:18:50.555,2022-04-27 22:18:50.555,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-04-27 22:17:32.999,07d4dabd-30b7-428a-9069-564558e8f69d,
2022-04-22 09:38:19.001,,2022-04-22 09:39:09.770,2022-04-22 09:39:09.770,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-04-22 09:38:29.001,fab03a3d-b2de-4f87-b7a0-6d2a52f22ac1,
2022-05-01 17:11:50.001,,2022-05-01 17:13:03.246,2022-05-01 17:13:03.246,1.0,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-01 17:12:05.001,0d62d7f8-0a65-44ff-9d1a-1fb4c52610af,
