com.samsung.health.food_info,6212007,6
potassium,vitamin_a,vitamin_c,vitamin_d,cholesterol,description,custom,provider_food_id,metric_serving_amount,sodium,dietary_fiber,total_fat,update_time,create_time,monosaturated_fat,protein,polysaturated_fat,iron,name,sugar,added_sugar,calcium,calorie,serving_description,info_provider,deviceuuid,metric_serving_unit,saturated_fat,trans_fat,pkg_name,carbohydrate,unit_count_per_calorie,datauuid,default_number_of_serving_unit
100.0,0.0,0.0,0.0,0.0,"266 kcal, per 100g",,default-fatsecret-38820,100,681.0,2.4,3.29,2022-04-05 09:11:15.548,2022-04-05 09:11:15.548,0.681,7.64,1.355,21.0,Pane Bianco,4.31,0.0,15.0,266.0,g,,3JD7PDJoKB,g,0.717,,com.sec.android.app.shealth,50.61,0.375,b0e196e9-7676-4520-aad3-b194644d3a1d,100,
292.0,20.0,26.0,0.0,0.0,"18 kcal, per 100g",,default-fatsecret-6138,123,6.0,1.5,0.25,2022-04-05 09:11:15.548,2022-04-05 09:11:15.548,0.063,1.08,0.166,2.0,Pomodori,3.23,0.0,1.0,22.0,"intero medio (6,5 cm di diametro)",,3JD7PDJoKB,g,0.057,,com.sec.android.app.shealth,4.82,5.6875,d40af547-1224-44f4-8bb4-62b6ec58e416,1,
68.0,0.0,0.0,0.0,0.0,"2 kcal, per 100g",,default-fatsecret-7554,59,8.0,0.0,0.11,2022-04-05 09:11:15.549,2022-04-05 09:11:15.549,0.0,0.07,0.054,0.0,Caffè Espresso,0.0,0.0,0.0,1.0,tazzina di caffè espresso (60 ml),,3JD7PDJoKB,g,0.054,,com.sec.android.app.shealth,0.0,29.6,64dd8b9e-3e9a-4fb2-a06d-b74629c46972,1,
0.0,0.0,0.0,0.0,0.0,"884 kcal, per 100g",,default-fatsecret-283520,14,0.0,0.0,13.5,2022-04-05 09:11:15.549,2022-04-05 09:11:15.549,9.85,0.0,1.421,0.0,Olio Extra Vergine di Oliva,0.0,0.0,0.0,119.0,cucchiaio da tavolo,,3JD7PDJoKB,g,1.864,,com.sec.android.app.shealth,0.0,0.11314824,87955f8b-b35c-4a19-b9a2-2ccd4c6ebe88,1,
233.0,2.0,0.0,0.0,12.0,"56 kcal, per 181g",,default-fatsecret-7350,240,50.0,0.2,3.98,2022-04-01 13:57:43.928,2022-04-01 13:57:43.928,1.007,4.08,0.241,1.0,Cappuccino,6.41,0.0,14.0,74.0,tazza grande (240 ml),,3JD7PDJoKB,g,2.273,,com.sec.android.app.shealth,5.81,3.3333333,ab04d9b2-fe12-47b5-91cd-73b9f70ad753,1,
422.0,2.0,17.0,0.0,0.0,"89 kcal, per 100g",,default-fatsecret-5388,118,1.0,3.1,0.39,2022-04-01 13:57:43.927,2022-04-01 13:57:43.927,0.038,1.29,0.086,2.0,Banana,14.43,0.0,1.0,105.0,media (18 cm - 20 cm di lunghezza),,3JD7PDJoKB,g,0.132,,com.sec.android.app.shealth,26.95,1.1222222,a51807e1-57fe-4a85-9aaa-a24f9875a6a1,1,
,0.0,0.0,0.0,,"497 kcal, per 100g",,fatsecret-3884543,100,250.0,6.0,25.0,2022-04-06 07:21:15.757,2022-04-05 09:36:30.768,,8.0,,0.0,Extra Cioccolato Belga e Nocciole(Kellogg's),21.0,,0.0,497.0,porzione,,3JD7PDJoKB,g,12.0,,com.sec.android.app.shealth,57.0,0.20120725,33370599-5338-404b-a99b-76b6025417ec,1,
160.0,56.0,14.0,0.0,0.0,"17 kcal, per 100g",,default-fatsecret-6254,55,16.0,1.1,0.13,2022-04-05 09:11:15.548,2022-04-05 09:11:15.548,0.004,0.84,0.063,4.0,Insalata Mista Verde,0.48,0.0,3.0,9.0,"tazza, tagliuzzata o a pezzi",,3JD7PDJoKB,g,0.021,,com.sec.android.app.shealth,1.76,6.111111,20be61c5-18cc-4ab1-9ebb-86aeb5abd654,1,
119.0,1.6666666,1.0,0.0,13.0,"1751 kcal, per 778g",,fatsecret-7010911,100,326.0,1.9,6.81,2022-04-05 13:06:23.108,2022-04-05 13:06:23.108,3.006,9.47,0.63,11.777777,Pasta Cacio e Pepe,1.14,,12.076923,225.0,g,,3JD7PDJoKB,g,2.712,,com.sec.android.app.shealth,31.29,0.44444445,aecd7ea4-01e3-4eda-9889-40e825bca5af,100,
0.0,0.0,0.0,0.0,0.0,"0 kcal, per 100g",,default-fatsecret-37922,237,5.0,0.0,0.0,2022-04-05 09:11:15.549,2022-04-05 09:11:15.549,0.0,0.0,0.0,0.0,Acqua,0.0,0.0,0.0,0.0,tazza (240 ml),,3JD7PDJoKB,g,0.0,,com.sec.android.app.shealth,0.0,,818f3ddd-2385-4999-9f2c-222d9fcdcdf1,1,
