com.samsung.health.sleep_stage,6212007,6
start_time,sleep_id,custom,update_time,create_time,stage,time_offset,deviceuuid,pkg_name,end_time,datauuid
2022-04-06 22:24:00.000,c8421746-397c-4776-bcce-cfdc988d0dbd,,2022-04-07 05:44:04.075,2022-04-07 05:44:04.075,40002,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-06 22:48:00.000,a00e0468-faf2-446f-b08d-0c44d3bea961,
2022-04-06 23:27:00.000,c8421746-397c-4776-bcce-cfdc988d0dbd,,2022-04-07 05:44:04.076,2022-04-07 05:44:04.076,40002,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-06 23:28:00.000,2f34477a-1073-4808-a031-052455f6cb43,
2022-04-07 00:28:00.000,c8421746-397c-4776-bcce-cfdc988d0dbd,,2022-04-07 05:44:04.077,2022-04-07 05:44:04.077,40001,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-07 00:30:00.000,184c5cdb-5ad2-4fc5-a2ab-354605ba8c3a,
2022-04-07 00:46:00.000,c8421746-397c-4776-bcce-cfdc988d0dbd,,2022-04-07 05:44:04.077,2022-04-07 05:44:04.077,40002,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-07 00:58:00.000,0765886d-bdb0-42a3-ad30-849ca4227019,
2022-04-07 01:26:00.000,c8421746-397c-4776-bcce-cfdc988d0dbd,,2022-04-07 05:44:04.078,2022-04-07 05:44:04.078,40002,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-07 01:41:00.000,064e2aa6-ab3b-496b-ae49-ec28a180d939,
2022-04-07 02:06:00.000,c8421746-397c-4776-bcce-cfdc988d0dbd,,2022-04-07 05:44:04.079,2022-04-07 05:44:04.079,40004,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-07 02:26:00.000,19fa627c-8f53-4800-8d64-6e5e934f103c,
2022-04-06 22:48:00.000,c8421746-397c-4776-bcce-cfdc988d0dbd,,2022-04-07 05:44:04.075,2022-04-07 05:44:04.075,40003,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-06 22:56:00.000,d9bb1abd-5877-40f5-84b3-00019369682d,
2022-04-07 02:49:00.000,c8421746-397c-4776-bcce-cfdc988d0dbd,,2022-04-07 05:44:04.080,2022-04-07 05:44:04.080,40002,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-07 02:51:00.000,d66eee8f-524f-4b92-82f0-31bd0e2108cd,
2022-04-07 03:35:00.000,c8421746-397c-4776-bcce-cfdc988d0dbd,,2022-04-07 05:44:04.081,2022-04-07 05:44:04.081,40002,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-07 03:36:00.000,b502fc00-bade-49e3-9618-3298de6fd194,
2022-04-06 23:28:00.000,c8421746-397c-4776-bcce-cfdc988d0dbd,,2022-04-07 05:44:04.076,2022-04-07 05:44:04.076,40001,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-06 23:29:00.000,164bb4b2-2cfc-4b5f-9858-3c110e8ba7ef,
2022-04-07 00:30:00.000,c8421746-397c-4776-bcce-cfdc988d0dbd,,2022-04-07 05:44:04.077,2022-04-07 05:44:04.077,40002,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-07 00:31:00.000,65a01869-726f-4cb1-8aa4-cafb125b6fbe,
2022-04-07 00:58:00.000,c8421746-397c-4776-bcce-cfdc988d0dbd,,2022-04-07 05:44:04.078,2022-04-07 05:44:04.078,40001,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-07 00:59:00.000,34ba6b52-9be5-47cc-a413-a06c04b64cf9,
2022-04-07 04:23:00.000,c8421746-397c-4776-bcce-cfdc988d0dbd,,2022-04-07 05:44:04.082,2022-04-07 05:44:04.082,40002,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-07 04:40:00.000,d09e18b0-e589-422e-8aa5-27f79a18385d,
2022-04-07 01:41:00.000,c8421746-397c-4776-bcce-cfdc988d0dbd,,2022-04-07 05:44:04.078,2022-04-07 05:44:04.078,40001,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-07 01:43:00.000,07a928b8-5557-4831-9799-c9840b7e5003,
2022-04-07 21:45:00.000,e9cff05c-9a39-4ebc-a69e-e540cd212ca3,,2022-04-08 05:51:03.658,2022-04-08 05:51:03.658,40003,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-07 22:05:00.000,53fe1ba6-185c-4b72-add3-a3277ffd9875,
2022-04-07 02:26:00.000,c8421746-397c-4776-bcce-cfdc988d0dbd,,2022-04-07 05:44:04.079,2022-04-07 05:44:04.079,40001,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-07 02:27:00.000,fdd5461a-0bbc-4980-a315-3059a470258d,
2022-04-07 22:45:00.000,e9cff05c-9a39-4ebc-a69e-e540cd212ca3,,2022-04-08 05:51:03.659,2022-04-08 05:51:03.659,40001,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-07 22:46:00.000,c507e3cc-6eac-4a91-bd73-4ba284117a2c,
2022-04-07 02:51:00.000,c8421746-397c-4776-bcce-cfdc988d0dbd,,2022-04-07 05:44:04.080,2022-04-07 05:44:04.080,40001,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-07 02:52:00.000,8dbda865-9364-40d7-8ece-0e33475e7ad9,
2022-04-07 23:14:00.000,e9cff05c-9a39-4ebc-a69e-e540cd212ca3,,2022-04-08 05:51:03.660,2022-04-08 05:51:03.660,40002,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-07 23:18:00.000,6ef32f8b-78d8-4c44-8b9c-755be2aefab9,
2022-04-07 03:36:00.000,c8421746-397c-4776-bcce-cfdc988d0dbd,,2022-04-07 05:44:04.081,2022-04-07 05:44:04.081,40004,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-07 04:10:00.000,9fbef15f-28d0-47d2-9d30-eb3ccbe7d11b,
2022-04-07 23:37:00.000,e9cff05c-9a39-4ebc-a69e-e540cd212ca3,,2022-04-08 05:51:03.661,2022-04-08 05:51:03.661,40002,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-07 23:58:00.000,615f6660-81f2-475f-9388-aeb406af766b,
2022-04-07 04:40:00.000,c8421746-397c-4776-bcce-cfdc988d0dbd,,2022-04-07 05:44:04.082,2022-04-07 05:44:04.082,40001,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-07 04:41:00.000,0e29be85-195b-455a-bc26-46185a7372b7,
2022-04-08 00:45:00.000,e9cff05c-9a39-4ebc-a69e-e540cd212ca3,,2022-04-08 05:51:03.661,2022-04-08 05:51:03.661,40004,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-08 00:46:00.000,97278ead-1a40-4997-886c-6c02a33c575b,
2022-04-07 22:05:00.000,e9cff05c-9a39-4ebc-a69e-e540cd212ca3,,2022-04-08 05:51:03.658,2022-04-08 05:51:03.658,40001,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-07 22:07:00.000,ba368808-9214-4663-9066-84f251e0005e,
2022-04-08 01:32:00.000,e9cff05c-9a39-4ebc-a69e-e540cd212ca3,,2022-04-08 05:51:03.662,2022-04-08 05:51:03.662,40004,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-08 01:34:00.000,15c69d5c-aee2-41b3-9679-905675c8a902,
2022-04-07 22:46:00.000,e9cff05c-9a39-4ebc-a69e-e540cd212ca3,,2022-04-08 05:51:03.659,2022-04-08 05:51:03.659,40002,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-07 22:50:00.000,071c6bcb-492c-4ef6-878e-03721e5d2379,
2022-04-08 02:43:00.000,e9cff05c-9a39-4ebc-a69e-e540cd212ca3,,2022-04-08 05:51:03.663,2022-04-08 05:51:03.663,40001,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-08 02:44:00.000,fdfe8dd7-617e-4a93-91a4-83c7cfb937d8,
2022-04-07 23:18:00.000,e9cff05c-9a39-4ebc-a69e-e540cd212ca3,,2022-04-08 05:51:03.660,2022-04-08 05:51:03.660,40001,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-04-07 23:19:00.000,ad020d38-8f14-419d-a800-1f4d66828c4a,
