com.samsung.health.water_intake,6212007,5
start_time,amount,custom,update_time,create_time,time_offset,deviceuuid,unit_amount,comment,pkg_name,datauuid
2022-04-05 09:42:29.315,250.0,,2022-04-05 09:42:29.671,2022-04-05 09:42:29.671,UTC+0200,3JD7PDJoKB,250.0,,com.sec.android.app.shealth,48258ee8-7b6e-4250-a1f7-15aa858fda26,
2022-04-06 09:11:04.039,250.0,,2022-04-06 09:11:04.395,2022-04-06 09:11:04.395,UTC+0200,3JD7PDJoKB,250.0,,com.sec.android.app.shealth,b3f3515f-bf89-4d16-ab24-aa34223130f8,
2022-04-06 09:11:04.520,250.0,,2022-04-06 09:11:04.876,2022-04-06 09:11:04.876,UTC+0200,3JD7PDJoKB,250.0,,com.sec.android.app.shealth,4739f30f-bfb1-4934-99b3-f972b281a563,
2022-04-07 20:03:02.783,250.0,,2022-04-07 20:03:02.787,2022-04-07 20:03:02.787,UTC+0200,SumqgnI0Fz,250.0,,com.sec.android.app.shealth,371927f8-de87-4c20-9566-770fcd9794df,
2022-04-06 21:52:09.772,250.0,,2022-04-06 21:52:09.801,2022-04-06 21:52:09.801,UTC+0200,SumqgnI0Fz,250.0,,com.sec.android.app.shealth,36792c89-684c-4928-a187-5e6265aa99eb,
2022-04-07 20:03:03.378,250.0,,2022-04-07 20:03:03.379,2022-04-07 20:03:03.379,UTC+0200,SumqgnI0Fz,250.0,,com.sec.android.app.shealth,c9f57921-c55a-4979-bd33-af0eedeb7fb7,
2022-04-06 09:11:05.037,250.0,,2022-04-06 09:11:05.399,2022-04-06 09:11:05.399,UTC+0200,3JD7PDJoKB,250.0,,com.sec.android.app.shealth,25ce4994-4c5c-447f-b908-b162dee1c55b,
2022-04-06 20:14:31.265,250.0,,2022-04-06 20:14:31.271,2022-04-06 20:14:31.271,UTC+0200,SumqgnI0Fz,250.0,,com.sec.android.app.shealth,ebb0c000-4bf3-4b2a-940f-a22182b5a3ab,
2022-04-08 12:58:15.205,250.0,,2022-04-08 12:58:15.213,2022-04-08 12:58:15.213,UTC+0200,SumqgnI0Fz,250.0,,com.sec.android.app.shealth,d638dad2-1b45-4fe1-b833-aa1b809fa2c0,
2022-04-08 12:58:16.367,250.0,,2022-04-08 12:58:16.368,2022-04-08 12:58:16.368,UTC+0200,SumqgnI0Fz,250.0,,com.sec.android.app.shealth,7dafeee0-65e7-4b68-a086-5c1b217de387,
2022-04-06 21:51:57.528,250.0,,2022-04-06 21:51:57.531,2022-04-06 21:51:57.531,UTC+0200,SumqgnI0Fz,250.0,,com.sec.android.app.shealth,b5ba1d92-a920-41b6-9190-47fe16cb6b53,
