com.samsung.shealth.best_records,6212007,1
source_id,device_type,update_time,create_time,source_pkg_name,date,type,value,extra_type,deviceuuid,pkg_name,controller_id,datauuid
af0958f5-09ca-488a-b18f-56334c155717,-1,2022-04-06 09:10:34.306,2022-04-06 09:10:34.306,,1649238625273,1,4805171.0,10007,3JD7PDJoKB,com.sec.android.app.shealth,tracker.sport_others,4783a920-0c10-4efd-977a-2d9677c6c936,
,-100003,2022-04-05 22:00:01.120,2022-04-05 22:00:01.120,,1649116800000,0,1927.0,-1,3JD7PDJoKB,com.sec.android.app.shealth,tracker.pedometer,4f2aacdf-74d7-4e8d-ad72-765d0f4e3145,
,-1,2022-04-09 20:24:39.306,2022-04-09 20:24:39.306,,1649462400000,6,2.0,-1,3JD7PDJoKB,com.sec.android.app.shealth,tracker.floor,ace91192-5bcd-4268-9133-7d6be71f08aa,
af0958f5-09ca-488a-b18f-56334c155717,-1,2022-04-06 09:10:34.319,2022-04-06 09:10:34.319,,1649238625273,2,458.0,10007,3JD7PDJoKB,com.sec.android.app.shealth,tracker.sport_others,f2f93370-cb3e-4a03-b295-c3e6914b0a20,
,-1,2022-04-15 17:52:32.672,2022-04-15 17:52:32.672,,1649980800000,6,5.0,-1,3JD7PDJoKB,com.sec.android.app.shealth,tracker.floor,65cbb353-e3b5-413b-9a35-2b797d7e59dd,
d2e0862a-606c-4f3a-b69e-52c37e7aecf4,-1,2022-04-08 17:10:38.858,2022-04-08 17:10:38.858,,1649441051448,2,647.0506,0,3JD7PDJoKB,com.sec.android.app.shealth,tracker.sport_others,1ab6f256-be04-4304-9aea-ed2b125d090e,
c50044a5-acfa-4ba5-b6de-9ba5b2cc0bb5,-1,2022-05-02 18:10:20.071,2022-05-02 18:10:20.071,,1651516825299,2,858.5103,0,3JD7PDJoKB,com.sec.android.app.shealth,tracker.sport_others,ea4cf163-7348-422e-bc41-2fb88e2e8017,
,-1,2022-04-11 07:09:41.015,2022-04-11 07:09:41.015,,1649635200000,6,3.0,-1,3JD7PDJoKB,com.sec.android.app.shealth,tracker.floor,0ae4e2a9-d926-409e-b702-7892c0e4ba69,
,-1,2022-04-13 23:37:02.141,2022-04-13 23:37:02.141,,1649808000000,6,3.0,-1,3JD7PDJoKB,com.sec.android.app.shealth,tracker.floor,8bf1498d-d5e7-4e60-a5ed-ac1140e3b5e2,
,-100003,2022-05-28 22:51:36.160,2022-05-28 22:51:36.160,,1653696000000,0,28016.0,-1,3JD7PDJoKB,com.sec.android.app.shealth,tracker.pedometer,e410af0b-1130-4688-b98d-d1366999b5ec,
