com.samsung.shealth.exercise,6212007,12
live_data_internal,mission_value,subset_data,total_calorie,completion_status,pace_info_id,pace_live_data,sensing_status,source_type,mission_type,tracking_status,program_id,title,reward_status,heart_rate_sample_count,mission_extra_value,program_schedule_id,heart_rate_deviceuuid,location_data_internal,additional_internal,com.samsung.health.exercise.duration,com.samsung.health.exercise.additional,com.samsung.health.exercise.mean_caloricburn_rate,com.samsung.health.exercise.location_data,com.samsung.health.exercise.start_time,com.samsung.health.exercise.exercise_type,com.samsung.health.exercise.custom,com.samsung.health.exercise.max_altitude,com.samsung.health.exercise.incline_distance,com.samsung.health.exercise.mean_heart_rate,com.samsung.health.exercise.count_type,com.samsung.health.exercise.mean_rpm,com.samsung.health.exercise.min_altitude,com.samsung.health.exercise.max_heart_rate,com.samsung.health.exercise.update_time,com.samsung.health.exercise.create_time,com.samsung.health.exercise.max_power,com.samsung.health.exercise.max_speed,com.samsung.health.exercise.mean_cadence,com.samsung.health.exercise.min_heart_rate,com.samsung.health.exercise.count,com.samsung.health.exercise.distance,com.samsung.health.exercise.max_caloricburn_rate,com.samsung.health.exercise.calorie,com.samsung.health.exercise.max_cadence,com.samsung.health.exercise.decline_distance,com.samsung.health.exercise.vo2_max,com.samsung.health.exercise.time_offset,com.samsung.health.exercise.deviceuuid,com.samsung.health.exercise.max_rpm,com.samsung.health.exercise.comment,com.samsung.health.exercise.live_data,com.samsung.health.exercise.mean_power,com.samsung.health.exercise.mean_speed,com.samsung.health.exercise.pkg_name,com.samsung.health.exercise.altitude_gain,com.samsung.health.exercise.altitude_loss,com.samsung.health.exercise.exercise_custom_type,com.samsung.health.exercise.end_time,com.samsung.health.exercise.datauuid,com.samsung.health.exercise.sweat_loss
,,,,1,,,,4,0,0,,,,,,,,,,709000,,,,2022-04-06 07:38:11.000,1002,,,,,30001,,,,2022-04-06 07:50:25.342,2022-04-06 07:50:25.342,,4.111111,,,1752,1945.21,,141.42,,,,UTC+0200,3JD7PDJoKB,,,7cc2dabc-34dc-43f4-a117-6bc923fbb0c5.com.samsung.health.exercise.live_data.json,,2.7435966,com.sec.android.app.shealth,,,,2022-04-06 07:50:00.000,7cc2dabc-34dc-43f4-a117-6bc923fbb0c5,,
af0958f5-09ca-488a-b18f-56334c155717.live_data_internal.json,0,,458.06412,0,,,,1,0,0,,,1,,0.0,,,,,4805171,,,,2022-04-06 07:50:25.273,10007,,,,,30001,,,,2022-04-06 09:10:44.694,2022-04-06 07:50:25.280,,,,,0,0.0,,458.0,,,,UTC+0200,3JD7PDJoKB,,,af0958f5-09ca-488a-b18f-56334c155717.com.samsung.health.exercise.live_data.json,,,com.sec.android.app.shealth,,,,2022-04-06 09:10:34.304,af0958f5-09ca-488a-b18f-56334c155717,,
f0737dc8-756b-4798-a032-d41c225a881b.live_data_internal.json,,,76.0,,,,f0737dc8-756b-4798-a032-d41c225a881b.sensing_status.json,4,,,,,,63,,,,,,762710,,,,2022-04-08 15:42:41.040,1001,,,,113.0,30001,,,125.0,2022-04-08 15:56:53.501,2022-04-08 15:56:53.501,,1.6543111,106.82959,91.0,1358,1043.15,,76.0,124.0,,,UTC+0200,SumqgnI0Fz,,,f0737dc8-756b-4798-a032-d41c225a881b.com.samsung.health.exercise.live_data.json,,1.3676889,com.sec.android.app.shealth,,,,2022-04-08 15:55:23.750,f0737dc8-756b-4798-a032-d41c225a881b,,
9d33e5cc-ed14-48f5-b60e-dc74bee51f84.live_data_internal.json,,,59.0,,,,9d33e5cc-ed14-48f5-b60e-dc74bee51f84.sensing_status.json,4,,,,,,34,,,,,,630015,,,,2022-04-09 00:14:50.931,1001,,,,100.0,30001,,,111.0,2022-04-09 00:26:51.855,2022-04-09 00:26:51.855,,1.4166666,67.99838,73.0,714,524.17,,59.0,100.0,,,UTC+0200,SumqgnI0Fz,,,9d33e5cc-ed14-48f5-b60e-dc74bee51f84.com.samsung.health.exercise.live_data.json,,0.831996,com.sec.android.app.shealth,,,,2022-04-09 00:25:20.946,9d33e5cc-ed14-48f5-b60e-dc74bee51f84,,
d2e0862a-606c-4f3a-b69e-52c37e7aecf4.live_data_internal.json,,,647.0506,,,,d2e0862a-606c-4f3a-b69e-52c37e7aecf4.sensing_status.json,1,,,,,1,400,,,,,,3980621,,,,2022-04-08 16:04:11.448,0,,,,139.0,,,,189.0,2022-04-08 17:39:13.284,2022-04-08 17:10:32.715,,,,83.0,,,,647.0506,,,,UTC+0200,SumqgnI0Fz,,,d2e0862a-606c-4f3a-b69e-52c37e7aecf4.com.samsung.health.exercise.live_data.json,,,com.sec.android.app.shealth,,,,2022-04-08 17:10:32.068,d2e0862a-606c-4f3a-b69e-52c37e7aecf4,,
d1823bfd-0eaa-4684-8f15-933726cdf32c.live_data_internal.json,,,57.0,,,,d1823bfd-0eaa-4684-8f15-933726cdf32c.sensing_status.json,4,,,,,,85,,,,,,995687,,,,2022-04-08 21:56:05.524,1001,,,,109.0,30001,,,120.0,2022-04-08 22:14:10.740,2022-04-08 22:14:10.740,,1.3641866,92.92076,89.0,1542,709.41,,57.0,106.0,,,UTC+0200,SumqgnI0Fz,,,d1823bfd-0eaa-4684-8f15-933726cdf32c.com.samsung.health.exercise.live_data.json,,0.7124829,com.sec.android.app.shealth,,,,2022-04-08 22:12:41.211,d1823bfd-0eaa-4684-8f15-933726cdf32c,,
9eec5bc0-429b-44e2-9e91-e4c3c97d9ab4.live_data_internal.json,,,60.0,,,,9eec5bc0-429b-44e2-9e91-e4c3c97d9ab4.sensing_status.json,4,,,,,,61,,,,,,766173,,,,2022-04-10 16:23:19.293,1001,,,,100.0,30001,,,115.0,2022-04-10 16:37:35.775,2022-04-10 16:37:35.775,,1.3888888,99.84691,83.0,1275,829.04,,60.0,105.0,,,UTC+0200,SumqgnI0Fz,,,9eec5bc0-429b-44e2-9e91-e4c3c97d9ab4.com.samsung.health.exercise.live_data.json,,1.0820533,com.sec.android.app.shealth,,,,2022-04-10 16:36:05.466,9eec5bc0-429b-44e2-9e91-e4c3c97d9ab4,,
450b4078-28f4-4bee-9602-708ee6f0c8fb.live_data_internal.json,,,66.0,,,,450b4078-28f4-4bee-9602-708ee6f0c8fb.sensing_status.json,4,,,,,,12,,,,,,272088,,,,2022-04-11 16:09:10.580,1002,,,,170.0,30001,,,180.0,2022-04-11 16:15:13.320,2022-04-11 16:15:13.320,,2.9712057,179.72127,140.0,815,748.8,,66.0,176.0,,,UTC+0200,SumqgnI0Fz,,,450b4078-28f4-4bee-9602-708ee6f0c8fb.com.samsung.health.exercise.live_data.json,,2.7520506,com.sec.android.app.shealth,,,,2022-04-11 16:13:42.668,450b4078-28f4-4bee-9602-708ee6f0c8fb,,
da41bf1d-27c2-4923-aecd-936338e46da7.live_data_internal.json,,,110.0,,,,da41bf1d-27c2-4923-aecd-936338e46da7.sensing_status.json,4,,,,,,124,,,,,,1369157,,,,2022-04-10 15:58:45.419,1001,,,,99.0,30001,,,120.0,2022-04-10 16:23:05.733,2022-04-10 16:23:05.733,,1.4444444,74.80515,78.0,1707,1270.23,,110.0,110.0,,,UTC+0200,SumqgnI0Fz,,,da41bf1d-27c2-4923-aecd-936338e46da7.com.samsung.health.exercise.live_data.json,,0.92774606,com.sec.android.app.shealth,,,,2022-04-10 16:21:34.576,da41bf1d-27c2-4923-aecd-936338e46da7,,
bedf4962-1510-4960-b9b4-8776f47dad47.live_data_internal.json,,,84.0,,,,bedf4962-1510-4960-b9b4-8776f47dad47.sensing_status.json,4,,,,,,64,,,,,,774008,,,,2022-04-11 15:45:25.326,1001,,,,124.0,30001,,,136.0,2022-04-11 15:59:50.507,2022-04-11 15:59:50.507,,1.6366665,111.31668,110.0,1436,1108.38,,84.0,123.0,,,UTC+0200,SumqgnI0Fz,,,bedf4962-1510-4960-b9b4-8776f47dad47.com.samsung.health.exercise.live_data.json,,1.4320008,com.sec.android.app.shealth,,,,2022-04-11 15:58:19.334,bedf4962-1510-4960-b9b4-8776f47dad47,,
