com.samsung.shealth.food_favorite,6212007,1
amount,food_type,update_time,create_time,name,unit,favoriteid,calorie,deviceuuid,pkg_name,datauuid,food_info_id
0.0,2,2022-04-05 09:36:30.852,2022-04-05 09:36:30.852,3bcaba17-dcc8-44ae-9b81-1fe7b9434ebe,,3bcaba17-dcc8-44ae-9b81-1fe7b9434ebe,0.0,3JD7PDJoKB,com.sec.android.app.shealth,7caa862f-2345-461f-b8b6-c16737890626,33370599-5338-404b-a99b-76b6025417ec,
0.0,2,2022-04-05 13:06:23.171,2022-04-05 13:06:23.171,c3fac15a-b6a7-4865-b994-dea5ff2e9a39,,c3fac15a-b6a7-4865-b994-dea5ff2e9a39,0.0,3JD7PDJoKB,com.sec.android.app.shealth,e645e70e-f10d-4504-bfa9-448bc0dfcd4c,aecd7ea4-01e3-4eda-9889-40e825bca5af,
0.0,2,2022-04-05 20:55:26.689,2022-04-05 20:55:26.689,239b26fb-a633-41b8-9bb8-216fa3728b02,,239b26fb-a633-41b8-9bb8-216fa3728b02,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0ed8cd21-5add-46d5-8e35-9fb8e3f53f1e,90ad06b0-b4eb-44da-96f8-fc89c8fc326b,
0.0,2,2022-04-05 09:36:30.852,2022-04-05 09:36:30.852,3bcaba17-dcc8-44ae-9b81-1fe7b9434ebe,,3bcaba17-dcc8-44ae-9b81-1fe7b9434ebe,0.0,3JD7PDJoKB,com.sec.android.app.shealth,06a5fea8-17e1-4f18-bb19-b5407910d57c,6f434493-c358-46a8-b3d2-d776c8f0cf61,
0.0,2,2022-04-06 10:39:15.781,2022-04-06 10:39:15.781,423f4158-ccc3-41c9-8ffd-f935d3599bf9,,423f4158-ccc3-41c9-8ffd-f935d3599bf9,0.0,3JD7PDJoKB,com.sec.android.app.shealth,b56c4e95-2273-426b-a52c-576345fe2c2c,570b9ff9-9793-4697-a146-91c838600ab7,
0.0,2,2022-04-05 13:06:23.172,2022-04-05 13:06:23.172,c3fac15a-b6a7-4865-b994-dea5ff2e9a39,,c3fac15a-b6a7-4865-b994-dea5ff2e9a39,0.0,3JD7PDJoKB,com.sec.android.app.shealth,9851e6c7-d819-41f6-b1f1-767129a32ce6,f7d375f5-5782-4f2a-92da-0db836031bc3,
0.0,2,2022-04-06 10:41:37.486,2022-04-06 10:41:37.486,f4171b36-61b4-4f2e-b29b-4488cbdce0ca,,f4171b36-61b4-4f2e-b29b-4488cbdce0ca,0.0,3JD7PDJoKB,com.sec.android.app.shealth,e7ad4ded-a26d-40f9-9e66-8c8465984591,ce7b1ab0-5591-4b59-a398-d1fa84ce3fa6,
0.0,2,2022-04-06 07:21:15.794,2022-04-06 07:21:15.794,902c579e-1af6-45b0-98df-17c12a810405,,902c579e-1af6-45b0-98df-17c12a810405,0.0,3JD7PDJoKB,com.sec.android.app.shealth,cf052ed5-57ec-4a2f-bf94-f3093e0e0c27,6f434493-c358-46a8-b3d2-d776c8f0cf61,
0.0,2,2022-04-07 08:15:28.172,2022-04-07 08:15:28.172,5ac11420-e832-4a0d-ab44-c8114e5e6b64,,5ac11420-e832-4a0d-ab44-c8114e5e6b64,0.0,3JD7PDJoKB,com.sec.android.app.shealth,b321ee7a-1083-4f1e-82de-3e98c9315f96,bc7edd2f-bc04-4d54-9a7f-e7e72638610f,
0.0,2,2022-04-06 10:39:15.782,2022-04-06 10:39:15.782,423f4158-ccc3-41c9-8ffd-f935d3599bf9,,423f4158-ccc3-41c9-8ffd-f935d3599bf9,0.0,3JD7PDJoKB,com.sec.android.app.shealth,f3281b48-f0b4-45a7-9d24-a3c46137adb6,ce7b1ab0-5591-4b59-a398-d1fa84ce3fa6,
0.0,2,2022-04-08 06:03:33.820,2022-04-08 06:03:33.820,9b2df092-5cbd-46bd-a6de-0a088b4234a1,,9b2df092-5cbd-46bd-a6de-0a088b4234a1,0.0,3JD7PDJoKB,com.sec.android.app.shealth,a6b9820e-cd20-4fd3-b869-f3fed2c00525,ada39d25-9a44-4459-8aa9-76204e902c2c,
0.0,2,2022-04-06 10:41:37.486,2022-04-06 10:41:37.486,f4171b36-61b4-4f2e-b29b-4488cbdce0ca,,f4171b36-61b4-4f2e-b29b-4488cbdce0ca,0.0,3JD7PDJoKB,com.sec.android.app.shealth,3944a5f1-ea4d-4ae6-9805-872a6b0e5b28,6d25932d-9b6d-404e-b84f-dbd10da28c1b,
0.0,2,2022-04-05 09:36:30.852,2022-04-05 09:36:30.852,3bcaba17-dcc8-44ae-9b81-1fe7b9434ebe,,3bcaba17-dcc8-44ae-9b81-1fe7b9434ebe,0.0,3JD7PDJoKB,com.sec.android.app.shealth,bc70be07-db6a-4ba3-a561-76dd467cd2ad,fdab0a03-dc62-45c8-a0aa-edef52ca63c0,
0.0,2,2022-04-08 10:47:00.269,2022-04-08 10:47:00.269,ef0e7af8-6201-4a6b-ba45-97ac5c50a1f3,,ef0e7af8-6201-4a6b-ba45-97ac5c50a1f3,0.0,3JD7PDJoKB,com.sec.android.app.shealth,c0e75c09-0163-4386-b951-8d8cb7c568a0,fdab0a03-dc62-45c8-a0aa-edef52ca63c0,
0.0,2,2022-04-07 19:06:45.492,2022-04-07 19:06:45.492,76552627-2060-4ab9-8c4d-eecf50e8f670,,76552627-2060-4ab9-8c4d-eecf50e8f670,0.0,3JD7PDJoKB,com.sec.android.app.shealth,ed19430d-c1a4-4efb-8877-8f08e3f19bdf,bd7b9838-4e95-4ce9-8949-14a3c9e2f935,
0.0,2,2022-04-05 13:06:23.172,2022-04-05 13:06:23.172,c3fac15a-b6a7-4865-b994-dea5ff2e9a39,,c3fac15a-b6a7-4865-b994-dea5ff2e9a39,0.0,3JD7PDJoKB,com.sec.android.app.shealth,fb25fbcf-dd9e-46a7-a3ca-5042fce1f179,7d530bef-e469-414b-b137-d2f1481d3729,
0.0,2,2022-04-08 12:43:32.771,2022-04-08 12:43:32.771,4c45a728-7bee-446e-bc33-58cd0a86060f,,4c45a728-7bee-446e-bc33-58cd0a86060f,0.0,3JD7PDJoKB,com.sec.android.app.shealth,37157f4d-eb4f-4f40-b890-8bad2287be7e,bd7b9838-4e95-4ce9-8949-14a3c9e2f935,
0.0,2,2022-04-08 06:03:33.821,2022-04-08 06:03:33.821,9b2df092-5cbd-46bd-a6de-0a088b4234a1,,9b2df092-5cbd-46bd-a6de-0a088b4234a1,0.0,3JD7PDJoKB,com.sec.android.app.shealth,f33ac915-800a-4ba0-ae62-16fb313b8190,231fd50f-c92c-4ff5-95d3-59e0563e7e7c,
0.0,2,2022-04-06 07:21:15.794,2022-04-06 07:21:15.794,902c579e-1af6-45b0-98df-17c12a810405,,902c579e-1af6-45b0-98df-17c12a810405,0.0,3JD7PDJoKB,com.sec.android.app.shealth,4eb83480-fd36-4da4-9d1d-164883307d88,33370599-5338-404b-a99b-76b6025417ec,
0.0,2,2022-04-09 10:25:22.781,2022-04-09 10:25:22.781,e9a4f1bd-ad9a-47f0-856a-337254785e31,,e9a4f1bd-ad9a-47f0-856a-337254785e31,0.0,3JD7PDJoKB,com.sec.android.app.shealth,aa0e6d5b-f274-4848-af06-730771318e56,df129ce4-1197-4c60-8a5c-dac3170fc367,
0.0,2,2022-04-08 10:47:00.269,2022-04-08 10:47:00.269,ef0e7af8-6201-4a6b-ba45-97ac5c50a1f3,,ef0e7af8-6201-4a6b-ba45-97ac5c50a1f3,0.0,3JD7PDJoKB,com.sec.android.app.shealth,dfbbc421-042c-473f-854c-bd15f752b29b,dd8d1d67-1535-4793-aa83-8a126ff4b3df,
0.0,2,2022-04-06 10:39:15.782,2022-04-06 10:39:15.782,423f4158-ccc3-41c9-8ffd-f935d3599bf9,,423f4158-ccc3-41c9-8ffd-f935d3599bf9,0.0,3JD7PDJoKB,com.sec.android.app.shealth,20b502fc-3bc2-422b-a07b-6c51aff008e1,6d25932d-9b6d-404e-b84f-dbd10da28c1b,
0.0,2,2022-04-09 13:09:06.100,2022-04-09 13:09:06.100,9014e3d1-6827-4b4d-bd6c-6d39f94b50d7,,9014e3d1-6827-4b4d-bd6c-6d39f94b50d7,0.0,3JD7PDJoKB,com.sec.android.app.shealth,63b0e7a0-8c3f-4aba-8a96-d1103c5cec17,dec97db9-4bfd-4d16-93ca-7bda7b891ebd,
