com.samsung.shealth.food_frequent,6212007,1
eveningsnack_count,update_time,create_time,morningsnack_count,dinner_count,breakfast_count,deviceuuid,pkg_name,afternoonsnack_count,datauuid,food_info_id,lunch_count
0.95,2022-04-05 20:53:38.411,2022-04-05 09:11:15.580,0.95,0.95,0.95,3JD7PDJoKB,com.sec.android.app.shealth,1.95,49d6a02f-2abe-47cd-ae14-15ef85863e6c,73d0f8b5-65ee-4bd0-876b-d078498747b6,0.95,
0.71,2022-04-05 09:11:15.580,2022-04-05 09:11:15.580,0.71,0.71,0.71,3JD7PDJoKB,com.sec.android.app.shealth,0.71,d951b2c4-7928-47de-83fe-8c8fdddc33a2,b1410520-ded4-4447-9cc6-f087dc31c877,0.71,
0.71,2022-04-01 13:57:43.937,2022-04-01 13:57:43.937,0.71,0.71,0.71,3JD7PDJoKB,com.sec.android.app.shealth,0.71,13ed6b29-27ed-4b33-b3d6-2e6dd384bb28,ab04d9b2-fe12-47b5-91cd-73b9f70ad753,0.71,
0.79,2022-04-01 13:57:43.937,2022-04-01 13:57:43.937,0.79,0.79,0.79,3JD7PDJoKB,com.sec.android.app.shealth,0.79,93c3d76b-9a2f-44bf-b38e-688475f7a6ae,7beadc54-08aa-4d38-852b-c9b6c82a2af8,0.79,
0.0,2022-04-05 10:51:35.380,2022-04-05 10:51:35.380,1.0,0.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,03ab9649-52c7-41c1-9447-616c16625931,e2ffd0a6-22d0-4f5e-a396-7d5c2540aee0,0.0,
0.99,2022-04-05 09:11:15.580,2022-04-05 09:11:15.580,0.99,0.99,0.99,3JD7PDJoKB,com.sec.android.app.shealth,0.99,34843b01-93e1-47a8-85ab-c30f75383856,b0e196e9-7676-4520-aad3-b194644d3a1d,0.99,
0.0,2022-04-14 14:28:44.692,2022-04-05 20:55:26.664,0.0,2.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,8d01f819-b9c4-46da-ba31-817255803534,90ad06b0-b4eb-44da-96f8-fc89c8fc326b,0.0,
0.0,2022-04-06 20:51:47.755,2022-04-06 20:51:47.755,0.0,1.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,336026fb-4ec4-4aef-b12a-d6755bb2f77b,f08905c8-b199-400e-972f-5ede36600969,0.0,
0.75,2022-04-05 09:11:15.580,2022-04-05 09:11:15.580,0.75,0.75,0.75,3JD7PDJoKB,com.sec.android.app.shealth,0.75,c5b0636f-6a12-4156-85df-a2fd48ba998a,64dd8b9e-3e9a-4fb2-a06d-b74629c46972,0.75,
0.0,2022-04-08 12:43:32.749,2022-04-07 19:12:02.682,0.0,1.0,0.0,3JD7PDJoKB,com.sec.android.app.shealth,0.0,f16c53b6-0867-4fca-8395-97b6df1595f7,ada39d25-9a44-4459-8aa9-76204e902c2c,1.0,
