com.samsung.shealth.hsp.references,6212007,1
hsp_id,shealth_id,update_time,create_time,shealth_data_type,deviceuuid,pkg_name,datauuid
sXcoC0SN2kd4XOSDJMLYRH,be5fea88-d0f2-45fc-aa08-ad9cd3e798ec,2022-04-05 09:42:12.680,2022-04-05 09:42:12.680,10001,3JD7PDJoKB,com.sec.android.app.shealth,211b9ade-dd42-4a4a-adf2-d9912fe8ca07,
90asy8xB8rXHb13Mrf5ijn,c1d42e70-0433-46eb-a275-7ae7ab96ea4d,2022-04-05 09:40:47.515,2022-04-05 09:40:47.515,10008,3JD7PDJoKB,com.sec.android.app.shealth,160f8bcb-5430-4ecc-890a-1f0f5ce42fed,
eaplbGwy9wmpLLo0CIkK7F,4739f30f-bfb1-4934-99b3-f972b281a563,2022-04-06 09:11:10.679,2022-04-06 09:11:10.679,10009,3JD7PDJoKB,com.sec.android.app.shealth,28551b61-520c-4f57-9879-d63282224850,
D8YTTigFjiBElwCWiQ5ldp,48258ee8-7b6e-4250-a1f7-15aa858fda26,2022-04-05 09:42:39.759,2022-04-05 09:42:39.759,10009,3JD7PDJoKB,com.sec.android.app.shealth,0288d5f3-6b3e-4b51-be68-3a7f579c2cb2,
0zMVtKRG4Bey0rkKJ8QZHU,25ce4994-4c5c-447f-b908-b162dee1c55b,2022-04-06 09:11:10.675,2022-04-06 09:11:10.675,10009,3JD7PDJoKB,com.sec.android.app.shealth,a9ec789f-d79d-4cc5-832a-292f086562ff,
21IYwpt7SBx4oyXVrfgQYQ,2844e00c-c38b-4881-8639-24c7f2d73565,2022-04-15 15:44:48.237,2022-04-15 15:44:48.237,10001,3JD7PDJoKB,com.sec.android.app.shealth,3d979a06-815c-461c-976b-da2234c2d9c6,
Rd0kF3JDlCrDWJmC0j20Yh,af0958f5-09ca-488a-b18f-56334c155717,2022-04-06 09:10:34.406,2022-04-06 09:10:34.406,10001,3JD7PDJoKB,com.sec.android.app.shealth,b2eaf208-f099-4303-a8a6-289d76a8d285,
iEo05C4xWA8eVRWRfwSDh4,7cc2dabc-34dc-43f4-a117-6bc923fbb0c5,2022-04-06 07:50:25.434,2022-04-06 07:50:25.434,10001,3JD7PDJoKB,com.sec.android.app.shealth,cc38172e-f441-4dbd-962d-fb5d73e29af3,
AH7cvAqEryD1GtHyYlflBG,6a20be26-754f-4b9a-b053-d7f45441cbd4,2022-04-20 15:55:00.886,2022-04-20 15:55:00.886,10001,3JD7PDJoKB,com.sec.android.app.shealth,ef2a2c75-f431-481d-94cb-89c534e1d2cf,
Vbb9Ny6Alp6oMVgaVZyrzE,b3f3515f-bf89-4d16-ab24-aa34223130f8,2022-04-06 09:11:10.673,2022-04-06 09:11:10.673,10009,3JD7PDJoKB,com.sec.android.app.shealth,b7c501f9-fc9f-4457-8036-662229ec080c,
FOV8gTCVAEPBdm6l4AX33F,6aa72694-3cb9-4237-912b-f42a71e10d88,2022-04-15 15:59:22.421,2022-04-15 15:59:22.421,10001,3JD7PDJoKB,com.sec.android.app.shealth,f3fbace2-b2d2-429e-a0dc-1ec2f2f29fa7,
rPoHenrW9A57bWTutyeX0q,c2d9b7e7-b80a-4ee3-a4fc-c1a4499a192f,2022-05-20 14:43:25.790,2022-05-20 14:43:25.790,10001,3JD7PDJoKB,com.sec.android.app.shealth,dbdb4b7e-8da1-46bd-8381-51260e1aaf5c,
