com.samsung.shealth.preferences,6212007,2
text_value,service_id,float_value,update_time,create_time,long_value,tag,blob_value,int_value,deviceuuid,pkg_name,double_value,datauuid
,,,2022-04-05 09:11:15.094,2022-04-05 09:10:56.986,,,,0,3JD7PDJoKB,com.sec.android.app.shealth,,settings.marketing_agreement,
,,,2022-06-25 14:05:16.754,2022-04-05 09:12:35.980,,,,1,3JD7PDJoKB,com.sec.android.app.shealth,,step.detectworkout_switch,
,,,2022-05-20 14:43:25.798,2022-04-05 09:42:12.683,1653057805526,,,,3JD7PDJoKB,com.sec.android.app.shealth,,hsp.sync_time_exercise,
,tracker.exercise,,2022-04-07 11:09:22.503,2022-04-07 06:03:06.679,,,,1,3JD7PDJoKB,com.sec.android.app.shealth,,34-detection.walking.enable,
,,,2022-06-21 17:31:18.755,2022-04-07 11:06:51.915,1655832672852,,,,3JD7PDJoKB,com.sec.android.app.shealth,,hsp.sync_time_bo,
,,,2022-04-05 09:12:41.888,2022-04-05 09:11:10.753,,,,1,3JD7PDJoKB,com.sec.android.app.shealth,,oobe.sensitive_data_agreement,
,,,2022-04-08 12:58:22.996,2022-04-05 09:14:00.310,1649422697947,,,,3JD7PDJoKB,com.sec.android.app.shealth,,hsp.sync_time_water,
,,,2022-06-24 22:07:57.599,2022-04-06 12:00:14.603,1656108472544,,,,3JD7PDJoKB,com.sec.android.app.shealth,,hsp.sync_time_heart_rate,
,tracker.exercise,,2022-04-07 11:09:22.508,2022-04-07 06:03:06.680,,,,1,3JD7PDJoKB,com.sec.android.app.shealth,,34-detection.elliptical.enable,
,tracker.exercise,,2022-04-11 16:17:08.247,2022-04-11 16:17:08.247,,,,20,SumqgnI0Fz,com.sec.android.app.shealth,,34-10010.target.duration,
,,,2022-06-25 14:05:16.734,2022-04-05 09:11:15.102,,,,1,3JD7PDJoKB,com.sec.android.app.shealth,,settings.personalization_agreement,
,,,2022-04-06 11:57:45.150,2022-04-05 09:15:49.975,,,,1,3JD7PDJoKB,com.sec.android.app.shealth,,together.setting_gc_invitation,
,tracker.sleep,,2022-04-08 06:02:07.746,2022-04-07 05:58:45.323,,,,0,3JD7PDJoKB,com.sec.android.app.shealth,,06-snore_setting,
,tracker.exercise,,2022-04-07 11:09:22.512,2022-04-07 06:03:06.687,,,,1,3JD7PDJoKB,com.sec.android.app.shealth,,34-detection.rowing.enable,
,tracker.exercise,,2022-04-11 16:17:08.305,2022-04-11 16:17:08.305,,,,2,SumqgnI0Fz,com.sec.android.app.shealth,,34-10010.target.type,
,tracker.exercise,,2022-06-01 14:28:28.964,2022-04-05 09:11:15.451,,,34-workout_list.blob_value.json,,SumqgnI0Fz,com.sec.android.app.shealth,,34-workout_list,
,,,2022-04-06 11:57:45.156,2022-04-05 09:15:49.979,,,,0,3JD7PDJoKB,com.sec.android.app.shealth,,together.setting_exposure_level,
,tracker.spo2,,2022-04-07 11:09:15.678,2022-04-07 06:02:55.620,,,,0,3JD7PDJoKB,com.sec.android.app.shealth,,10-measure.period,
,tracker.exercise,,2022-04-07 11:09:22.512,2022-04-07 06:03:06.689,,,,1,3JD7PDJoKB,com.sec.android.app.shealth,,34-detection.swimming.enable,
,tracker.exercise,,2022-04-11 16:19:53.491,2022-04-11 16:19:53.491,,,,0,SumqgnI0Fz,com.sec.android.app.shealth,,34-during.audioGuide.enable,
,tracker.exercise,,2022-04-08 13:00:20.839,2022-04-05 09:11:15.452,,,34-favorite_list.blob_value.json,,SumqgnI0Fz,com.sec.android.app.shealth,,34-favorite_list,
,,,2022-04-06 11:57:45.158,2022-04-05 09:15:49.981,,,,0,3JD7PDJoKB,com.sec.android.app.shealth,,together.setting_ld_auto_addition,
,tracker.exercise,,2022-04-07 11:09:22.502,2022-04-07 06:02:55.637,,,,1,3JD7PDJoKB,com.sec.android.app.shealth,,34-detection.workout.enable,
,tracker.exercise,,2022-04-07 11:09:22.514,2022-04-07 06:03:06.690,,,,1,3JD7PDJoKB,com.sec.android.app.shealth,,34-detection.dynamic.enable,
,tracker.exercise,,2022-06-01 14:28:28.695,2022-06-01 14:28:28.695,,,,0,SumqgnI0Fz,com.sec.android.app.shealth,,34-10001.target.enable,
,,,2022-04-05 09:11:17.144,2022-04-05 09:11:17.165,,,,1,3JD7PDJoKB,com.sec.android.app.shealth,,settings.location_agreement,
,,,2022-06-01 14:32:19.951,2022-04-05 09:40:47.524,1654093934908,,,,3JD7PDJoKB,com.sec.android.app.shealth,,hsp.sync_time_weight,
,tracker.inactive,,2022-04-07 11:09:15.703,2022-04-07 06:02:55.649,,,,1,3JD7PDJoKB,com.sec.android.app.shealth,,75-alert.enable,
,tracker.exercise,,2022-04-07 11:09:22.516,2022-04-07 06:03:06.696,,,,1,3JD7PDJoKB,com.sec.android.app.shealth,,34-detection.alert.enable,
