com.samsung.shealth.sleep,6212007,5
original_efficiency,mental_recovery,factor_01,factor_02,factor_03,factor_04,factor_05,factor_06,factor_07,factor_08,factor_09,factor_10,has_sleep_data,combined_id,data_version,physical_recovery,original_wake_up_time,movement_awakening,original_bed_time,quality,extra_data,sleep_cycle,efficiency,sleep_score,sleep_duration,com.samsung.health.sleep.start_time,com.samsung.health.sleep.custom,com.samsung.health.sleep.update_time,com.samsung.health.sleep.create_time,com.samsung.health.sleep.time_offset,com.samsung.health.sleep.deviceuuid,com.samsung.health.sleep.comment,com.samsung.health.sleep.pkg_name,com.samsung.health.sleep.end_time,com.samsung.health.sleep.datauuid
,,,,,,,,,,,,0,,,,,,,0,,,0.0,,,2022-04-05 21:40:00.000,,2022-04-06 09:10:53.452,2022-04-06 09:10:53.452,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,2022-04-06 05:50:00.000,33a0224b-58f9-439f-b8e0-79a9a8d3bd96,
,,,,,,,,,,,,0,,,,2022-04-09 05:50:00.000,,2022-04-09 01:00:00.000,0,,,0.0,,,2022-04-09 01:00:00.000,,2022-04-09 11:08:28.789,2022-04-09 11:07:41.985,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,2022-04-09 08:00:00.000,7f43df5b-e196-4baf-b0da-ea400712ea72,
,46.0,18,18,3,9,12,95,95,2,9,0,0,,3,36.0,,25.0,,,51be76e8-da94-42c0-99be-a95cabdc8eb4.extra_data.json,1,87.0,59,95,2022-04-13 13:00:00.000,,2022-04-13 14:42:20.339,2022-04-13 14:42:16.174,UTC+0200,SumqgnI0Fz,,com.sec.android.app.shealth,2022-04-13 14:35:00.000,51be76e8-da94-42c0-99be-a95cabdc8eb4,
,82.0,63,63,5,8,24,433,141,0,0,0,0,,3,76.0,,9.0,,,c8421746-397c-4776-bcce-cfdc988d0dbd.extra_data.json,4,94.0,84,433,2022-04-06 22:24:00.000,,2022-04-07 05:44:04.132,2022-04-07 05:38:06.399,UTC+0200,SumqgnI0Fz,,com.sec.android.app.shealth,2022-04-07 05:37:00.000,c8421746-397c-4776-bcce-cfdc988d0dbd,
,,,,,,,,,,,,0,,,,,,,0,,,0.0,,,2022-05-09 22:50:00.000,,2022-05-10 08:16:25.704,2022-05-10 08:16:25.704,UTC+0200,3JD7PDJoKB,,com.sec.android.app.shealth,2022-05-10 05:50:00.000,faab4a32-5d35-487d-bf7b-a4168b36fba1,
,70.0,0,36,0,0,77,161,0,0,74,0,0,,3,38.0,,94.0,,,de2b8434-64f0-4176-8d66-6a6f86c1f732.extra_data.json,0,52.0,50,161,2022-04-17 12:30:00.000,,2022-04-17 15:30:55.156,2022-04-17 15:30:34.976,UTC+0200,SumqgnI0Fz,,com.sec.android.app.shealth,2022-04-17 15:11:00.000,de2b8434-64f0-4176-8d66-6a6f86c1f732,
,73.0,41,68,7,17,36,507,135,1,14,0,0,,3,76.0,,15.0,,,e9cff05c-9a39-4ebc-a69e-e540cd212ca3.extra_data.json,6,92.0,71,507,2022-04-07 21:22:00.000,,2022-04-08 05:51:03.695,2022-04-08 05:50:53.518,UTC+0200,SumqgnI0Fz,,com.sec.android.app.shealth,2022-04-08 05:49:00.000,e9cff05c-9a39-4ebc-a69e-e540cd212ca3,
,47.0,23,23,3,18,21,100,82,1,18,0,0,,3,44.0,,43.0,,,8fc64f87-afc5-4a4c-9b01-726721eeb6c6.extra_data.json,1,79.0,57,100,2022-04-14 12:47:00.000,,2022-04-14 14:27:24.597,2022-04-14 14:27:21.642,UTC+0200,SumqgnI0Fz,,com.sec.android.app.shealth,2022-04-14 14:27:00.000,8fc64f87-afc5-4a4c-9b01-726721eeb6c6,
,38.0,31,31,2,27,29,96,69,1,27,0,0,,3,60.0,,61.0,,,2c7a20e7-ad88-43b9-b56e-c683a0e601cb.extra_data.json,1,69.0,58,96,2022-04-11 13:12:00.000,,2022-04-11 15:49:12.518,2022-04-11 15:07:01.998,UTC+0200,SumqgnI0Fz,,com.sec.android.app.shealth,2022-04-11 14:48:00.000,2c7a20e7-ad88-43b9-b56e-c683a0e601cb,
,76.0,13,13,2,4,7,160,75,0,0,0,0,,3,31.0,,7.0,,,692fec87-f8ba-4bfb-80d9-e9169f0045c9.extra_data.json,2,95.0,75,160,2022-04-09 20:32:00.000,,2022-04-09 23:17:33.786,2022-04-09 23:15:36.136,UTC+0200,SumqgnI0Fz,,com.sec.android.app.shealth,2022-04-09 23:12:00.000,692fec87-f8ba-4bfb-80d9-e9169f0045c9,
,53.0,22,22,1,12,31,97,65,1,30,0,0,,3,46.0,,64.0,,,da9679b1-223d-4086-9012-7618532526cb.extra_data.json,1,68.0,63,97,2022-05-29 13:39:00.000,,2022-05-29 15:33:44.846,2022-05-29 15:33:41.221,UTC+0200,SumqgnI0Fz,,com.sec.android.app.shealth,2022-05-29 15:16:00.000,da9679b1-223d-4086-9012-7618532526cb,
,70.0,0,18,0,0,0,61,0,0,0,0,0,,3,36.0,,0.0,,,e063d3f9-a9d8-4438-b9b5-11484a78225a.extra_data.json,0,100.0,60,61,2022-05-20 08:57:00.000,,2022-05-20 10:09:13.388,2022-05-20 10:08:49.022,UTC+0200,SumqgnI0Fz,,com.sec.android.app.shealth,2022-05-20 09:58:00.000,e063d3f9-a9d8-4438-b9b5-11484a78225a,
,70.0,0,10,0,0,13,71,0,0,13,0,0,,3,21.0,,37.0,,,3698806f-882d-4df0-9add-93a669e6d599.extra_data.json,0,81.0,49,71,2022-05-13 15:28:00.000,,2022-05-13 16:43:17.371,2022-05-13 16:43:13.610,UTC+0200,SumqgnI0Fz,,com.sec.android.app.shealth,2022-05-13 16:39:00.000,3698806f-882d-4df0-9add-93a669e6d599,
,59.0,14,14,0,6,40,100,38,1,39,0,0,,3,39.0,,79.0,,,f19b16fd-38e8-46a4-9b9d-901a2a8b3050.extra_data.json,1,60.0,56,100,2022-05-07 14:24:00.000,,2022-05-07 16:22:13.632,2022-05-07 16:22:09.763,UTC+0200,SumqgnI0Fz,,com.sec.android.app.shealth,2022-05-07 16:04:00.000,f19b16fd-38e8-46a4-9b9d-901a2a8b3050,
,36.0,18,18,3,19,33,105,78,2,32,0,0,,3,37.0,,66.0,,,50fe2284-2ed2-447d-ba53-ed3a15d585ab.extra_data.json,1,68.0,53,105,2022-05-01 13:30:00.000,,2022-05-01 15:20:08.193,2022-05-01 15:20:00.538,UTC+0200,SumqgnI0Fz,,com.sec.android.app.shealth,2022-05-01 15:15:00.000,50fe2284-2ed2-447d-ba53-ed3a15d585ab,
,41.0,22,22,2,24,26,82,58,1,24,0,0,,3,50.0,,64.0,,,6b397e4b-d423-4c83-b46c-f15a28b164d8.extra_data.json,1,68.0,51,82,2022-04-16 15:34:00.000,,2022-04-16 17:14:16.774,2022-04-16 17:14:13.130,UTC+0200,SumqgnI0Fz,,com.sec.android.app.shealth,2022-04-16 16:56:00.000,6b397e4b-d423-4c83-b46c-f15a28b164d8,
,56.0,5,5,3,9,12,84,84,1,9,0,0,,3,17.0,,29.0,,,fe79ee2e-f313-40f0-a8a5-33f10c9bf156.extra_data.json,1,85.0,58,84,2022-06-21 13:56:00.000,,2022-06-21 15:30:31.188,2022-06-21 15:30:28.523,UTC+0200,SumqgnI0Fz,,com.sec.android.app.shealth,2022-06-21 15:20:00.000,fe79ee2e-f313-40f0-a8a5-33f10c9bf156,
,70.0,0,11,0,0,17,63,0,0,15,0,0,,3,24.0,,51.0,,,ec9f60eb-80c4-4566-a62f-b0a32360cb32.extra_data.json,0,73.0,51,63,2022-05-19 13:20:00.000,,2022-05-19 14:42:10.881,2022-05-19 14:42:06.278,UTC+0200,SumqgnI0Fz,,com.sec.android.app.shealth,2022-05-19 14:23:00.000,ec9f60eb-80c4-4566-a62f-b0a32360cb32,
,70.0,0,17,0,0,33,107,0,0,33,0,0,,3,27.0,,62.0,,,9ab50ae9-83b5-4877-96cf-9082858a18c1.extra_data.json,0,69.0,50,107,2022-05-24 14:52:00.000,,2022-05-24 16:43:53.913,2022-05-24 16:43:50.041,UTC+0200,SumqgnI0Fz,,com.sec.android.app.shealth,2022-05-24 16:39:00.000,9ab50ae9-83b5-4877-96cf-9082858a18c1,
,58.0,9,9,2,7,23,81,59,1,21,0,0,,3,25.0,,58.0,,,0fbfd3d6-b6dc-46d0-9bb5-422b9700e34e.extra_data.json,1,71.0,55,81,2022-05-21 12:27:00.000,,2022-05-21 13:52:38.091,2022-05-21 13:52:35.405,UTC+0200,SumqgnI0Fz,,com.sec.android.app.shealth,2022-05-21 13:48:00.000,0fbfd3d6-b6dc-46d0-9bb5-422b9700e34e,
