com.samsung.shealth.stress,6212007,7
start_time,custom,binning_data,tag_id,update_time,create_time,max,min,score,algorithm,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
2022-04-06 12:00:05.000,,,10000,2022-04-06 12:00:05.684,2022-04-06 12:00:05.684,,,76.0,,UTC+0200,SumqgnI0Fz,,com.sec.android.app.shealth,2022-04-06 12:00:05.000,a3ca96d6-5228-465e-b6ac-a56e88089513,
2022-04-06 19:07:56.000,,,10000,2022-04-06 19:07:57.817,2022-04-06 19:07:57.817,,,17.0,,UTC+0200,SumqgnI0Fz,,com.sec.android.app.shealth,2022-04-06 19:07:56.000,8c4bca21-d110-4e53-91d7-2d4a50efd8ea,
2022-04-07 18:28:35.000,,,10000,2022-04-07 18:28:35.638,2022-04-07 18:28:35.638,,,27.0,,UTC+0200,SumqgnI0Fz,,com.sec.android.app.shealth,2022-04-07 18:28:35.000,d55101a8-caae-46d2-b867-45d79fd4d78a,
2022-04-22 13:57:58.000,,,10000,2022-04-22 13:57:58.937,2022-04-22 13:57:58.937,,,0.0,,UTC+0200,SumqgnI0Fz,,com.sec.android.app.shealth,2022-04-22 13:57:58.000,ae4d1ec6-7058-42df-9d8c-cdc57d40998a,
2022-04-22 13:59:01.000,,,10000,2022-04-22 13:59:02.096,2022-04-22 13:59:02.096,,,0.0,,UTC+0200,SumqgnI0Fz,,com.sec.android.app.shealth,2022-04-22 13:59:01.000,b3c6b903-a131-4b9e-91cf-89596dea5246,
2022-04-29 13:39:14.000,,,10000,2022-04-29 13:39:14.269,2022-04-29 13:39:14.269,,,2.0,,UTC+0200,SumqgnI0Fz,,com.sec.android.app.shealth,2022-04-29 13:39:14.000,773a7b2e-b1be-4029-af5d-873c8db71e7b,
2022-04-08 13:57:42.000,,,10000,2022-04-08 13:57:42.612,2022-04-08 13:57:42.612,,,1.0,,UTC+0200,SumqgnI0Fz,,com.sec.android.app.shealth,2022-04-08 13:57:42.000,5c225eb1-9ce8-4231-8cfd-6b934cd0145b,
2022-04-14 14:53:38.000,,,10000,2022-04-14 14:53:39.037,2022-04-14 14:53:39.037,,,0.0,,UTC+0200,SumqgnI0Fz,,com.sec.android.app.shealth,2022-04-14 14:53:38.000,28dc7a61-f971-431b-a279-b3065bb18ec7,
2022-04-21 16:04:22.000,,,10000,2022-04-21 16:04:22.320,2022-04-21 16:04:22.320,,,13.0,,UTC+0200,SumqgnI0Fz,,com.sec.android.app.shealth,2022-04-21 16:04:22.000,596b4c21-fea7-48db-8631-e5f8abd3e947,
2022-06-15 15:18:47.000,,,10000,2022-06-15 15:18:47.384,2022-06-15 15:18:47.384,,,1.0,,UTC+0200,SumqgnI0Fz,,com.sec.android.app.shealth,2022-06-15 15:18:47.000,54607d7d-73ae-4daf-852e-39d3321df532,
