com.samsung.shealth.tracker.pedometer_day_summary,6212007,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
1927,05861087-234d-4646-be30-5946caca3220.binning_data.json,1105625,6000,47,2022-04-05 22:00:01.328,com.sec.android.app.shealth,2022-04-05 22:00:01.328,,1.3485849,1491.03,80.95999,1880,3JD7PDJoKB,com.sec.android.app.shealth,0,05861087-234d-4646-be30-5946caca3220.achievement.json,05861087-234d-4646-be30-5946caca3220,1649116800000,
1927,599db65a-270f-4821-90e0-9bd8e471bb80.binning_data.json,1105625,6000,47,2022-04-05 21:55:15.727,com.sec.android.app.shealth,2022-04-05 09:16:32.807,599db65a-270f-4821-90e0-9bd8e471bb80.source_info.json,1.3485849,1491.03,80.95999,1880,VfS0qUERdZ,com.sec.android.app.shealth,0,599db65a-270f-4821-90e0-9bd8e471bb80.achievement.json,599db65a-270f-4821-90e0-9bd8e471bb80,1649116800000,
16935,c3ca67a6-fd70-41bd-830c-2b4b28b03847.binning_data.json,9008566,6000,1153,2022-04-07 05:45:02.401,com.sec.android.app.shealth,2022-04-06 05:46:08.770,c3ca67a6-fd70-41bd-830c-2b4b28b03847.source_info.json,1.5194901,13688.429,756.98004,15782,VfS0qUERdZ,com.sec.android.app.shealth,0,c3ca67a6-fd70-41bd-830c-2b4b28b03847.achievement.json,c3ca67a6-fd70-41bd-830c-2b4b28b03847,1649203200000,
16680,459711ff-ce54-43be-99ad-ab53092715ce.binning_data.json,8877984,6000,1155,2022-04-06 22:00:02.028,com.sec.android.app.shealth,2022-04-06 22:00:02.028,,1.5208892,13502.43,747.6099,15525,3JD7PDJoKB,com.sec.android.app.shealth,0,459711ff-ce54-43be-99ad-ab53092715ce.achievement.json,459711ff-ce54-43be-99ad-ab53092715ce,1649203200000,
8171,80da7068-9f9d-478d-b421-d397be3264ec.binning_data.json,4257959,6000,1006,2022-04-08 22:15:45.028,com.sec.android.app.shealth,2022-04-08 22:00:01.561,,1.5940946,6787.59,391.55,7165,3JD7PDJoKB,com.sec.android.app.shealth,0,80da7068-9f9d-478d-b421-d397be3264ec.achievement.json,80da7068-9f9d-478d-b421-d397be3264ec,1649376000000,
7889,db021bda-5c02-48f2-aa2f-d302fa96afe9.binning_data.json,4424357,6000,0,2022-04-08 22:00:02.574,com.sec.android.app.shealth,2022-04-07 22:00:07.303,,1.3615761,6024.1,325.82028,7889,SumqgnI0Fz,com.sec.android.app.shealth,0,db021bda-5c02-48f2-aa2f-d302fa96afe9.achievement.json,db021bda-5c02-48f2-aa2f-d302fa96afe9,1649289600000,
2389,53d04109-4c56-43c9-bcf0-e91225377f00.binning_data.json,1324838,6000,24,2022-04-07 22:00:06.313,com.sec.android.app.shealth,2022-04-06 22:00:04.218,,1.3872099,1837.8293,97.1002,2365,SumqgnI0Fz,com.sec.android.app.shealth,0,53d04109-4c56-43c9-bcf0-e91225377f00.achievement.json,53d04109-4c56-43c9-bcf0-e91225377f00,1649203200000,
6665,df35b38c-4bba-44cd-b576-406b4ae3578c.binning_data.json,3791679,6000,16,2022-04-07 22:00:03.759,com.sec.android.app.shealth,2022-04-07 22:00:03.759,,1.3512614,5123.55,273.15,6649,3JD7PDJoKB,com.sec.android.app.shealth,0,df35b38c-4bba-44cd-b576-406b4ae3578c.achievement.json,df35b38c-4bba-44cd-b576-406b4ae3578c,1649289600000,
8340,1d42552f-2e9a-479f-89e4-12d36d87cbf9.binning_data.json,5075241,6000,8,2022-04-10 22:00:12.090,com.sec.android.app.shealth,2022-04-10 22:00:12.090,,1.2378091,6282.18,336.51,8332,3JD7PDJoKB,com.sec.android.app.shealth,0,1d42552f-2e9a-479f-89e4-12d36d87cbf9.achievement.json,1d42552f-2e9a-479f-89e4-12d36d87cbf9,1649548800000,
5804,31f3eb5b-c9e1-4b2d-a0d4-78aab4fb608d.binning_data.json,3265630,6000,3,2022-04-09 22:49:20.908,com.sec.android.app.shealth,2022-04-09 22:49:20.908,,1.3581649,4435.2646,238.96901,5801,SumqgnI0Fz,com.sec.android.app.shealth,0,31f3eb5b-c9e1-4b2d-a0d4-78aab4fb608d.achievement.json,31f3eb5b-c9e1-4b2d-a0d4-78aab4fb608d,1649462400000,
3340,d1095369-0133-476b-a599-3cac57662015.binning_data.json,1924627,6000,0,2022-04-09 22:49:14.781,com.sec.android.app.shealth,2022-04-08 22:15:44.975,,1.3254514,2551.0,135.25,3340,3JD7PDJoKB,com.sec.android.app.shealth,0,d1095369-0133-476b-a599-3cac57662015.achievement.json,d1095369-0133-476b-a599-3cac57662015,1649462400000,
8466,81da09da-ed34-40c0-ad03-7c279e76e5ae.binning_data.json,4322474,6000,1116,2022-04-09 22:49:20.989,com.sec.android.app.shealth,2022-04-08 22:00:02.558,,1.5606151,6745.7183,390.0895,7350,SumqgnI0Fz,com.sec.android.app.shealth,0,81da09da-ed34-40c0-ad03-7c279e76e5ae.achievement.json,81da09da-ed34-40c0-ad03-7c279e76e5ae,1649376000000,
12111,e568ec8c-7fc6-4670-89b0-d44e0939d87b.binning_data.json,6361204,6000,1186,2022-04-12 22:00:05.135,com.sec.android.app.shealth,2022-04-11 22:00:06.537,,1.5018333,9553.47,546.4883,10925,SumqgnI0Fz,com.sec.android.app.shealth,0,e568ec8c-7fc6-4670-89b0-d44e0939d87b.achievement.json,e568ec8c-7fc6-4670-89b0-d44e0939d87b,1649635200000,
8990,6cb57b7a-d233-4a92-bccd-ccbc8bda98da.binning_data.json,5220622,6000,0,2022-04-12 22:00:03.113,com.sec.android.app.shealth,2022-04-12 22:00:03.113,,1.3155882,6868.19,365.94998,8990,3JD7PDJoKB,com.sec.android.app.shealth,0,6cb57b7a-d233-4a92-bccd-ccbc8bda98da.achievement.json,6cb57b7a-d233-4a92-bccd-ccbc8bda98da,1649721600000,
10236,5ed30479-745e-4d89-8419-24936be7770e.binning_data.json,5331412,6000,1133,2022-04-09 01:04:20.170,com.sec.android.app.shealth,2022-04-08 06:20:42.975,5ed30479-745e-4d89-8419-24936be7770e.source_info.json,1.5295333,8154.5737,465.58005,9103,VfS0qUERdZ,com.sec.android.app.shealth,0,5ed30479-745e-4d89-8419-24936be7770e.achievement.json,5ed30479-745e-4d89-8419-24936be7770e,1649376000000,
11696,ae7e5f43-7a90-483d-a9ff-d82553d936de.binning_data.json,6203684,6000,1266,2022-04-11 22:00:02.265,com.sec.android.app.shealth,2022-04-11 22:00:02.265,,1.5534801,9637.3,552.61,10430,3JD7PDJoKB,com.sec.android.app.shealth,0,ae7e5f43-7a90-483d-a9ff-d82553d936de.achievement.json,ae7e5f43-7a90-483d-a9ff-d82553d936de,1649635200000,
8871,c9284d10-974a-4d7e-b143-db6ac0d94a9e.binning_data.json,5181949,6000,6,2022-04-11 22:00:06.483,com.sec.android.app.shealth,2022-04-10 22:00:14.152,,1.2910677,6690.247,359.92023,8865,SumqgnI0Fz,com.sec.android.app.shealth,0,c9284d10-974a-4d7e-b143-db6ac0d94a9e.achievement.json,c9284d10-974a-4d7e-b143-db6ac0d94a9e,1649548800000,
8954,51e0de49-cdeb-49f0-b33b-f890c61e1a52.binning_data.json,5076548,6000,16,2022-04-08 05:50:59.227,com.sec.android.app.shealth,2022-04-07 05:45:01.666,51e0de49-cdeb-49f0-b33b-f890c61e1a52.source_info.json,1.3479526,6842.947,369.39014,8938,VfS0qUERdZ,com.sec.android.app.shealth,0,51e0de49-cdeb-49f0-b33b-f890c61e1a52.achievement.json,51e0de49-cdeb-49f0-b33b-f890c61e1a52,1649289600000,
16517,851f2eeb-50ef-404e-8b87-ed18a83b3c31.binning_data.json,8654280,6000,1313,2022-04-14 22:00:03.504,com.sec.android.app.shealth,2022-04-13 22:00:04.982,,1.5017388,12996.468,731.67487,15204,SumqgnI0Fz,com.sec.android.app.shealth,0,851f2eeb-50ef-404e-8b87-ed18a83b3c31.achievement.json,851f2eeb-50ef-404e-8b87-ed18a83b3c31,1649808000000,
15910,1f04b7cb-22e9-46e5-a9db-5f3551a4ebd6.binning_data.json,8425649,6000,1376,2022-04-13 22:00:02.519,com.sec.android.app.shealth,2022-04-13 22:00:02.519,,1.5480611,13043.42,732.89996,14534,3JD7PDJoKB,com.sec.android.app.shealth,0,1f04b7cb-22e9-46e5-a9db-5f3551a4ebd6.achievement.json,1f04b7cb-22e9-46e5-a9db-5f3551a4ebd6,1649808000000,
2466,2ba1ac2c-a540-427a-9243-62acab5bc456.binning_data.json,1450388,6000,0,2022-04-14 22:00:01.425,com.sec.android.app.shealth,2022-04-14 22:00:01.425,,1.2910128,1872.47,99.42,2466,3JD7PDJoKB,com.sec.android.app.shealth,0,2ba1ac2c-a540-427a-9243-62acab5bc456.achievement.json,2ba1ac2c-a540-427a-9243-62acab5bc456,1649894400000,
