com.samsung.shealth.tracker.pedometer_step_count,6212007,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
19324,4,0,30,2022-05-21 06:55:00.000,,,2022-05-21 06:55:41.949,2022-05-21 06:55:37.966,30,1.1596514,22.41,1.26,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-21 06:56:00.000,713ff9d8-175b-4e30-b879-4f368bad391b,
7475,4,0,13,2022-05-21 07:34:00.000,,,2022-05-21 07:34:16.959,2022-05-21 07:34:16.959,13,1.3055556,9.76,0.52,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-21 07:35:00.000,40c990de-d0bf-4d3e-b748-97dd63dfc8e6,
4658,4,0,6,2022-05-21 07:19:00.000,,,2022-05-21 07:19:21.881,2022-05-21 07:19:21.881,6,0.91666675,4.27,0.27,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-21 07:20:00.000,f1e2a809-5d87-42f9-b485-8fa4c3792b1d,
6160,4,0,10,2022-05-21 07:25:00.000,,,2022-05-21 07:32:22.056,2022-05-21 07:32:22.056,10,1.2222222,7.53,0.42,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-21 07:26:00.000,0683c7fa-ffce-4938-bdd9-e06553910903,
60000,4,0,110,2022-05-21 07:40:00.000,,,2022-05-21 07:41:08.863,2022-05-21 07:41:08.863,110,1.4116666,84.7,4.4,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-21 07:41:00.000,85cd19af-30e0-42b4-8554-6ccdb1b5a210,
6137,4,0,9,2022-05-21 07:36:00.000,,,2022-05-21 07:36:34.147,2022-05-21 07:36:31.838,9,1.0737737,6.59,0.37999997,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-21 07:37:00.000,72e2ce34-2482-4bfa-9566-e888ecb1217b,
20976,4,0,33,2022-05-21 07:42:00.000,,,2022-05-21 07:42:20.459,2022-05-21 07:42:00.244,33,1.1708331,24.559998,1.3199998,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-21 07:43:00.000,146f5195-1e02-4d8f-94a3-76bc5f795df9,
15412,4,0,21,2022-05-21 07:36:00.000,,,2022-05-21 07:38:03.400,2022-05-21 07:36:08.811,21,0.9447221,14.560293,1.1199915,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-21 07:37:00.000,f95ddc86-6706-474f-bdd2-cd7aa680a8dc,
5175,4,0,11,2022-05-21 07:35:00.000,,,2022-05-21 07:36:07.750,2022-05-21 07:36:07.750,11,1.6944443,8.77,0.45,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-21 07:36:00.000,2bfe78c1-e9c3-434e-afb9-86b6b51b81a3,
15005,4,0,23,2022-05-21 07:38:00.000,,,2022-05-21 07:39:27.397,2022-05-21 07:38:25.141,23,1.1223009,16.840214,0.94999266,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-21 07:39:00.000,c3bbb8a6-7f5a-4f5d-9902-2ee0b5c21fb0,
55593,4,0,96,2022-05-21 07:44:00.000,,,2022-05-21 07:45:16.475,2022-05-21 07:45:16.475,96,1.3055556,72.58,3.9,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-21 07:45:00.000,9bc26b92-5098-4a4b-be72-f7a1a4253409,
25174,4,0,40,2022-05-21 07:42:00.000,,,2022-05-21 07:45:15.962,2022-05-21 07:45:15.962,40,1.1666666,29.37,1.6,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-21 07:43:00.000,8a7ebf72-8661-4029-aa58-9956c3a38516,
54422,4,0,94,2022-05-21 08:11:00.000,,,2022-05-21 08:13:00.373,2022-05-21 08:11:15.068,94,1.3248248,72.1,3.7900002,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-21 08:12:00.000,92c347ab-2253-48cd-89f2-039d32e409d8,
60000,4,0,108,2022-05-21 08:09:00.000,,,2022-05-21 08:10:58.697,2022-05-21 08:10:58.697,108,1.3843333,83.06,4.32,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-21 08:10:00.000,cf98b8f9-4227-4bb0-aff2-ef9f0b654234,
21755,4,0,36,2022-05-21 08:06:00.000,,,2022-05-21 08:08:07.636,2022-05-21 08:08:07.636,36,1.2222222,26.59,1.52,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-21 08:07:00.000,5da8ff7b-dadd-4899-9db8-2a16fcee5dc9,
39136,4,0,62,2022-05-21 07:41:00.000,,,2022-05-21 07:41:59.524,2022-05-21 07:41:08.980,62,1.1858394,46.410007,2.509999,UTC+0200,3JD7PDJoKB,com.sec.android.app.shealth,2022-05-21 07:42:00.000,cd790bcc-2534-4d93-926b-2c5f36612c16,
54131,4,0,99,2022-05-21 08:12:00.000,,,2022-05-21 08:13:01.111,2022-05-21 08:12:46.589,99,1.4148893,76.58978,4.040044,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-21 08:13:00.000,da456210-5329-404d-8b0b-29179952b533,
6586,4,0,11,2022-05-21 07:59:00.000,,,2022-05-21 08:03:29.875,2022-05-21 08:03:29.875,11,1.2222222,8.05,0.49,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-21 08:00:00.000,45e3e92f-eed2-4689-8274-172b46837f63,
21187,4,0,36,2022-05-21 08:13:00.000,,,2022-05-21 08:14:11.174,2022-05-21 08:13:01.348,36,1.2573252,26.639765,1.4799951,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-21 08:14:00.000,f870f94e-0162-47ff-87f1-fd7e080eb433,
46854,4,0,80,2022-05-21 08:27:00.000,,,2022-05-21 08:28:23.289,2022-05-21 08:28:23.289,80,1.2777778,59.87,3.22,UTC+0200,SumqgnI0Fz,com.sec.android.app.shealth,2022-05-21 08:28:00.000,d6be7986-a178-4cad-a321-da0f392049c2,
